Strabismus_Type,Deviation_PD,Muscle,Surgery_Type,Approach,Recession_mm,Resection_mm,Note
Esotropia,15,Medial Rectus,Recession,Unilateral,3.0,0.0,
Esotropia,15,Lateral Rectus,Resection,Unilateral,0.0,4.0,
Esotropia,20,Medial Rectus,Recession,Unilateral,4.0,0.0,
Esotropia,20,Lateral Rectus,Resection,Unilateral,0.0,5.0,
Esotropia,25,Medial Rectus,Recession,Unilateral,5.0,0.0,
Esotropia,25,Lateral Rectus,Resection,Unilateral,0.0,6.0,
Esotropia,30,Medial Rectus,Recession,Unilateral,6.0,0.0,
Esotropia,30,Lateral Rectus,Resection,Unilateral,0.0,7.0,
Esotropia,35,Medial Rectus,Recession,Unilateral,7.0,0.0,
Esotropia,35,Lateral Rectus,Resection,Unilateral,0.0,8.0,
Esotropia,40,Medial Rectus,Recession,Unilateral,8.0,0.0,
Esotropia,40,Lateral Rectus,Resection,Unilateral,0.0,9.0,
Esotropia,45,Medial Rectus,Recession,Unilateral,9.0,0.0,
Esotropia,45,Lateral Rectus,Resection,Unilateral,0.0,10.0,
Esotropia,50,Medial Rectus,Recession,Unilateral,10.0,0.0,
Esotropia,50,Lateral Rectus,Resection,Unilateral,0.0,11.0,
Esotropia,55,Medial Rectus,Recession,Unilateral,11.0,0.0,
Esotropia,55,Lateral Rectus,Resection,Unilateral,0.0,12.0,
Esotropia,60,Medial Rectus,Recession,Unilateral,12.0,0.0,
Esotropia,60,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,65,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,65,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,70,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,70,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,75,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,75,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,80,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,80,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,85,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,85,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,90,Medial Rectus,Recession,Unilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,90,Lateral Rectus,Resection,Unilateral,0.0,12.0,Consider adding contralateral similar muscle resection
Esotropia,15,Medial Rectus,Recession,Bilateral,3.0,0.0,
Esotropia,15,Medial Rectus,Recession,Bilateral,3.0,0.0,
Esotropia,20,Medial Rectus,Recession,Bilateral,4.0,0.0,
Esotropia,20,Medial Rectus,Recession,Bilateral,4.0,0.0,
Esotropia,25,Medial Rectus,Recession,Bilateral,5.0,0.0,
Esotropia,25,Medial Rectus,Recession,Bilateral,5.0,0.0,
Esotropia,30,Medial Rectus,Recession,Bilateral,6.0,0.0,
Esotropia,30,Medial Rectus,Recession,Bilateral,6.0,0.0,
Esotropia,35,Medial Rectus,Recession,Bilateral,7.0,0.0,
Esotropia,35,Medial Rectus,Recession,Bilateral,7.0,0.0,
Esotropia,40,Medial Rectus,Recession,Bilateral,8.0,0.0,
Esotropia,40,Medial Rectus,Recession,Bilateral,8.0,0.0,
Esotropia,45,Medial Rectus,Recession,Bilateral,9.0,0.0,
Esotropia,45,Medial Rectus,Recession,Bilateral,9.0,0.0,
Esotropia,50,Medial Rectus,Recession,Bilateral,10.0,0.0,
Esotropia,50,Medial Rectus,Recession,Bilateral,10.0,0.0,
Esotropia,55,Medial Rectus,Recession,Bilateral,11.0,0.0,
Esotropia,55,Medial Rectus,Recession,Bilateral,11.0,0.0,
Esotropia,60,Medial Rectus,Recession,Bilateral,12.0,0.0,
Esotropia,60,Medial Rectus,Recession,Bilateral,12.0,0.0,
Esotropia,65,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,65,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,70,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,70,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,75,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,75,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,80,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,80,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,85,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,85,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,90,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Esotropia,90,Medial Rectus,Recession,Bilateral,12.0,0.0,Consider adding contralateral similar muscle recession
Exotropia,15,Lateral Rectus,Recession,Unilateral,4.0,0.0,
Exotropia,15,Medial Rectus,Resection,Unilateral,0.0,3.0,
Exotropia,20,Lateral Rectus,Recession,Unilateral,5.0,0.0,
Exotropia,20,Medial Rectus,Resection,Unilateral,0.0,3.5,
Exotropia,25,Lateral Rectus,Recession,Unilateral,6.0,0.0,
Exotropia,25,Medial Rectus,Resection,Unilateral,0.0,4.0,
Exotropia,30,Lateral Rectus,Recession,Unilateral,7.0,0.0,
Exotropia,30,Medial Rectus,Resection,Unilateral,0.0,4.5,
Exotropia,35,Lateral Rectus,Recession,Unilateral,8.0,0.0,
Exotropia,35,Medial Rectus,Resection,Unilateral,0.0,5.0,
