Strabismus_Type,Deviation_PD,Muscle,Surgery_Type,Approach,Recession_mm,Resection_mm
Esotropia,15,Medial Rectus,Recession,Bilateral,3.0,
Esotropia,15,Medial Rectus,Recession,Unilateral,3.0,
Esotropia,20,Medial Rectus,Recession,Bilateral,3.25,
Esotropia,20,Medial Rectus,Recession,Unilateral,3.2,
Esotropia,25,Medial Rectus,Recession,Bilateral,3.5,
Esotropia,25,Medial Rectus,Recession,Unilateral,3.4,
Esotropia,30,Medial Rectus,Recession,Bilateral,3.75,
Esotropia,30,Medial Rectus,Recession,Unilateral,3.6,
Esotropia,35,Medial Rectus,Recession,Bilateral,4.0,
Esotropia,35,Medial Rectus,Recession,Unilateral,3.8,
Esotropia,40,Medial Rectus,Recession,Bilateral,4.25,
Esotropia,40,Medial Rectus,Recession,Unilateral,4.0,
Esotropia,45,Medial Rectus,Recession,Bilateral,4.5,
Esotropia,45,Medial Rectus,Recession,Unilateral,4.2,
Esotropia,50,Medial Rectus,Recession,Bilateral,4.75,
Esotropia,50,Medial Rectus,Recession,Unilateral,4.4,
Esotropia,55,Medial Rectus,Recession,Bilateral,5.0,
Esotropia,55,Medial Rectus,Recession,Unilateral,4.6,
Esotropia,60,Medial Rectus,Recession,Bilateral,5.25,
Esotropia,60,Medial Rectus,Recession,Unilateral,4.8,
Esotropia,65,Medial Rectus,Recession,Bilateral,5.5,
Esotropia,65,Medial Rectus,Recession,Unilateral,5.0,
Esotropia,70,Medial Rectus,Recession,Bilateral,5.75,
Esotropia,70,Medial Rectus,Recession,Unilateral,5.2,
Esotropia,75,Medial Rectus,Recession,Bilateral,6.0,
Esotropia,75,Medial Rectus,Recession,Unilateral,5.4,
Esotropia,80,Medial Rectus,Recession,Bilateral,6.25,
Esotropia,80,Medial Rectus,Recession,Unilateral,5.6,
Esotropia,85,Medial Rectus,Recession,Bilateral,6.5,
Esotropia,85,Medial Rectus,Recession,Unilateral,5.8,
Esotropia,90,Medial Rectus,Recession,Bilateral,6.75,
Esotropia,90,Medial Rectus,Recession,Unilateral,6.0,
Exotropia,15,Lateral Rectus,Recession,Bilateral,4.0,
Exotropia,15,Lateral Rectus,Recession,Unilateral,4.0,
Exotropia,20,Lateral Rectus,Recession,Bilateral,4.3,
Exotropia,20,Lateral Rectus,Recession,Unilateral,4.25,
Exotropia,25,Lateral Rectus,Recession,Bilateral,4.6,
Exotropia,25,Lateral Rectus,Recession,Unilateral,4.5,
Exotropia,30,Lateral Rectus,Recession,Bilateral,4.9,
Exotropia,30,Lateral Rectus,Recession,Unilateral,4.75,
Exotropia,35,Lateral Rectus,Recession,Bilateral,5.2,
Exotropia,35,Lateral Rectus,Recession,Unilateral,5.0,
Exotropia,40,Lateral Rectus,Recession,Bilateral,5.5,
Exotropia,40,Lateral Rectus,Recession,Unilateral,5.25,
Exotropia,45,Lateral Rectus,Recession,Bilateral,5.8,
Exotropia,45,Lateral Rectus,Recession,Unilateral,5.5,
Exotropia,50,Lateral Rectus,Recession,Bilateral,6.1,
Exotropia,50,Lateral Rectus,Recession,Unilateral,5.75,
Exotropia,55,Lateral Rectus,Recession,Bilateral,6.4,
Exotropia,55,Lateral Rectus,Recession,Unilateral,6.0,
Exotropia,60,Lateral Rectus,Recession,Bilateral,6.7,
Exotropia,60,Lateral Rectus,Recession,Unilateral,6.25,
Exotropia,65,Lateral Rectus,Recession,Bilateral,7.0,
Exotropia,65,Lateral Rectus,Recession,Unilateral,6.5,
Exotropia,70,Lateral Rectus,Recession,Bilateral,7.3,
Exotropia,70,Lateral Rectus,Recession,Unilateral,6.75,
Exotropia,75,Lateral Rectus,Recession,Bilateral,7.6,
Exotropia,75,Lateral Rectus,Recession,Unilateral,7.0,
Exotropia,80,Lateral Rectus,Recession,Bilateral,7.9,
Exotropia,80,Lateral Rectus,Recession,Unilateral,7.25,
Exotropia,85,Lateral Rectus,Recession,Bilateral,8.2,
Exotropia,85,Lateral Rectus,Recession,Unilateral,7.5,
Exotropia,90,Lateral Rectus,Recession,Bilateral,8.5,
Exotropia,90,Lateral Rectus,Recession,Unilateral,7.75,
Hypertropia,5,Superior Rectus,Recession,Unilateral,2.0,
Hypertropia,5,Inferior Rectus,Resection,Unilateral,,3.0
Hypotropia,5,Inferior Rectus,Recession,Unilateral,2.0,
Hypotropia,5,Superior Rectus,Resection,Unilateral,,3.0
Hypertropia,10,Superior Rectus,Recession,Unilateral,2.2,
Hypertropia,10,Inferior Rectus,Resection,Unilateral,,3.3
Hypotropia,10,Inferior Rectus,Recession,Unilateral,2.2,
Hypotropia,10,Superior Rectus,Resection,Unilateral,,3.3
Hypertropia,15,Superior Rectus,Recession,Unilateral,2.4,
Hypertropia,15,Inferior Rectus,Resection,Unilateral,,3.6
Hypotropia,15,Inferior Rectus,Recession,Unilateral,2.4,
Hypotropia,15,Superior Rectus,Resection,Unilateral,,3.6
Hypertropia,20,Superior Rectus,Recession,Unilateral,2.6,
Hypertropia,20,Inferior Rectus,Resection,Unilateral,,3.9
Hypotropia,20,Inferior Rectus,Recession,Unilateral,2.6,
Hypotropia,20,Superior Rectus,Resection,Unilateral,,3.9
Hypertropia,25,Superior Rectus,Recession,Unilateral,2.8,
Hypertropia,25,Inferior Rectus,Resection,Unilateral,,4.2
Hypotropia,25,Inferior Rectus,Recession,Unilateral,2.8,
Hypotropia,25,Superior Rectus,Resection,Unilateral,,4.2
Hypertropia,30,Superior Rectus,Recession,Unilateral,3.0,
Hypertropia,30,Inferior Rectus,Resection,Unilateral,,4.5
Hypotropia,30,Inferior Rectus,Recession,Unilateral,3.0,
Hypotropia,30,Superior Rectus,Resection,Unilateral,,4.5
Hypertropia,35,Superior Rectus,Recession,Unilateral,3.2,
Hypertropia,35,Inferior Rectus,Resection,Unilateral,,4.8
Hypotropia,35,Inferior Rectus,Recession,Unilateral,3.2,
Hypotropia,35,Superior Rectus,Resection,Unilateral,,4.8
Hypertropia,40,Superior Rectus,Recession,Unilateral,3.4,
Hypertropia,40,Inferior Rectus,Resection,Unilateral,,5.1
Hypotropia,40,Inferior Rectus,Recession,Unilateral,3.4,
Hypotropia,40,Superior Rectus,Resection,Unilateral,,5.1
Hypertropia,45,Superior Rectus,Recession,Unilateral,3.6,
Hypertropia,45,Inferior Rectus,Resection,Unilateral,,5.4
Hypotropia,45,Inferior Rectus,Recession,Unilateral,3.6,
Hypotropia,45,Superior Rectus,Resection,Unilateral,,5.4
Paralytic (CN III Palsy),15,Medial Rectus,Resection,Unilateral,,4.0
Paralytic (CN III Palsy),15,Lateral Rectus,Recession,Unilateral,6.0,
Paralytic (CN III Palsy),20,Medial Rectus,Resection,Unilateral,,4.4
Paralytic (CN III Palsy),20,Lateral Rectus,Recession,Unilateral,6.3,
Paralytic (CN III Palsy),25,Medial Rectus,Resection,Unilateral,,4.8
Paralytic (CN III Palsy),25,Lateral Rectus,Recession,Unilateral,6.6,
Paralytic (CN III Palsy),30,Medial Rectus,Resection,Unilateral,,5.2
Paralytic (CN III Palsy),30,Lateral Rectus,Recession,Unilateral,6.9,
Paralytic (CN III Palsy),35,Medial Rectus,Resection,Unilateral,,5.6
Paralytic (CN III Palsy),35,Lateral Rectus,Recession,Unilateral,7.2,
Paralytic (CN III Palsy),40,Medial Rectus,Resection,Unilateral,,6.0
Paralytic (CN III Palsy),40,Lateral Rectus,Recession,Unilateral,7.5,
Paralytic (CN III Palsy),45,Medial Rectus,Resection,Unilateral,,6.4
Paralytic (CN III Palsy),45,Lateral Rectus,Recession,Unilateral,7.8,
Paralytic (CN III Palsy),50,Medial Rectus,Resection,Unilateral,,6.8
Paralytic (CN III Palsy),50,Lateral Rectus,Recession,Unilateral,8.1,
Paralytic (CN III Palsy),55,Medial Rectus,Resection,Unilateral,,7.2
Paralytic (CN III Palsy),55,Lateral Rectus,Recession,Unilateral,8.4,
Paralytic (CN III Palsy),60,Medial Rectus,Resection,Unilateral,,7.6
Paralytic (CN III Palsy),60,Lateral Rectus,Recession,Unilateral,8.7,
